file,analog_p50_ber,ber_ci95_lo,ber_ci95_hi,sparse_active_k,tdm_symbols_per_s,tdm_pj_per_symbol_est,amp_type,voa_post_db,sat_abs_on,sat_I_sat,sat_alpha,e2e_tokens_per_s,e2e_combined_ber
out\tdm_lightsa_k8_recenter20.json,0.125,,,8,10000000.0,,,,,,,,
out\tdm_lightsa_k8_recenter20_m05.json,0.25,,,8,10000000.0,,,,,,,,
out\tdm16_k8_probe.json,0.125,0.6465618539409094,0.679296952561884,8,10000000.0,2615.5104754978884,,,,,,,
out\tdm32_k8_probe.json,0.125,0.649088495169766,0.6722811027290951,8,5000000.0,10368.315466579023,,,,,,,
out\tdm16_k8_eosw.json,0.0,0.640562040715875,0.6734360046306866,8,9900990.099009901,2273.9114839134004,,,,,,,
out\tdm_sweep_16ch_strong_k4.json,0.0,0.650036746947085,0.6826888160145793,4,5000000.0,16940.74244980729,,,,,,,
out\tdm_sweep_16ch_strong_k8.json,0.0,0.6509846139174582,0.6836137008057166,8,10000000.0,8470.371224903645,,,,,,,
out\tdm_sweep_16ch_light_k4.json,0.0,0.654776809993955,0.687312511775261,4,5000000.0,5618.03235611873,,,,,,,
out\tdm_sweep_16ch_light_k8.json,0.125,0.6386679566613155,0.6715845851622254,8,10000000.0,2809.016178059365,,,,,,,
out\tdm_sweep_32ch_strong_k4.json,0.0,0.6459396744656138,0.669183672745223,4,2500000.0,66752.7405768719,,,,,,,
out\tdm_sweep_32ch_strong_k8.json,0.0,0.6683086410337894,0.6911630860620214,8,5000000.0,33376.37028843595,,,,,,,
out\tdm_sweep_32ch_light_k4.json,0.25,0.6511355303420018,0.6742941305040754,4,2500000.0,20540.834614511332,,,,,,,
out\tdm_sweep_32ch_light_k8.json,0.125,0.665786739884215,0.6886879866611761,8,5000000.0,10270.417307255666,,,,,,,
out\tdm_sweep_16ch_strong_k4_emitter_tsw0p0.json,0.0,0.0,0.004779050997111869,4,5000000.0,16940.74244980729,,,,,,,
out\tdm_sweep_16ch_strong_k4_eo_switch_tsw0p5.json,0.0,0.0,0.004779050997111869,4,4950495.049504951,16940.74244980729,,,,,,,
out\tdm_sweep_16ch_strong_k8_emitter_tsw0p0.json,0.0,0.0,0.002395249007133871,8,10000000.0,8470.371224903645,,,,,,,
out\tdm_sweep_16ch_strong_k8_eo_switch_tsw0p5.json,0.0,0.0,0.002395249007133871,8,9900990.099009901,8470.371224903645,,,,,,,
out\tdm_sweep_16ch_light_k4_emitter_tsw0p0.json,0.0,0.10615426615998484,0.15240612683286348,4,5000000.0,5618.03235611873,,,,,,,
out\tdm_sweep_16ch_light_k4_eo_switch_tsw0p5.json,0.0,0.10615426615998484,0.15240612683286348,4,4950495.049504951,5618.03235611873,,,,,,,
out\tdm_sweep_16ch_light_k8_emitter_tsw0p0.json,0.125,0.11086567917229184,0.14342476946054067,8,10000000.0,2809.016178059365,,,,,,,
out\tdm_sweep_16ch_light_k8_eo_switch_tsw0p5.json,0.125,0.11086567917229184,0.14342476946054067,8,9900990.099009901,2809.016178059365,,,,,,,
out\tdm_sweep_32ch_strong_k4_emitter_tsw0p0.json,0.0,0.0,0.004779050997111869,4,2500000.0,66752.7405768719,,,,,,,
out\tdm_sweep_32ch_strong_k4_eo_switch_tsw0p5.json,0.0,0.0,0.004779050997111869,4,2475247.5247524753,66752.7405768719,,,,,,,
out\tdm_sweep_32ch_strong_k8_emitter_tsw0p0.json,0.0,0.0,0.002395249007133871,8,5000000.0,33376.37028843595,,,,,,,
out\tdm_sweep_32ch_strong_k8_eo_switch_tsw0p5.json,0.0,0.0,0.002395249007133871,8,4950495.049504951,33376.37028843595,,,,,,,
out\tdm_sweep_32ch_light_k4_emitter_tsw0p0.json,0.25,0.14322527945107716,0.19495278946200223,4,2500000.0,20540.834614511332,,,,,,,
out\tdm_sweep_32ch_light_k4_eo_switch_tsw0p5.json,0.25,0.14322527945107716,0.19495278946200223,4,2475247.5247524753,20540.834614511332,,,,,,,
out\tdm_sweep_32ch_light_k8_emitter_tsw0p0.json,0.125,0.14821467952604028,0.18463714324748043,8,5000000.0,10270.417307255666,,,,,,,
out\tdm_sweep_32ch_light_k8_eo_switch_tsw0p5.json,0.125,0.14821467952604028,0.18463714324748043,8,4950495.049504951,10270.417307255666,,,,,,,
out\tdm16_k8_edfa.json,1.0,0.9909965349377348,0.9978791744839437,8,10000000.0,4514.958280673995,,,,,,,
out\tdm16_k8_soa.json,0.0,0.0403570358516244,0.061798688254796084,8,10000000.0,2609.240156411249,,,,,,,
out\tdm16_k8_edfa_nudged.json,0.875,0.8559175053156134,0.888545040112813,8,10000000.0,7198.89108649415,,,,,,,
out\tdm16_k8_edfa_pack.json,1.0,0.873062770527598,0.9038219293080965,8,10000000.0,11547.507900898112,,,,,,,
out\tdm_lightsa_k8_recenter20.json,0.125,,,8,10000000.0,,,,,,,,
out\tdm_lightsa_k8_recenter20_m05.json,0.25,,,8,10000000.0,,,,,,,,
out\tdm16_k8_probe.json,0.125,0.6465618539409094,0.679296952561884,8,10000000.0,2615.5104754978884,,,,,,,
out\tdm32_k8_probe.json,0.125,0.649088495169766,0.6722811027290951,8,5000000.0,10368.315466579023,,,,,,,
out\tdm16_k8_eosw.json,0.0,0.640562040715875,0.6734360046306866,8,9900990.099009901,2273.9114839134004,,,,,,,
out\tdm_sweep_16ch_strong_k4.json,0.0,0.650036746947085,0.6826888160145793,4,5000000.0,16940.74244980729,,,,,,,
out\tdm_sweep_16ch_strong_k8.json,0.0,0.6509846139174582,0.6836137008057166,8,10000000.0,8470.371224903645,,,,,,,
out\tdm_sweep_16ch_light_k4.json,0.0,0.654776809993955,0.687312511775261,4,5000000.0,5618.03235611873,,,,,,,
out\tdm_sweep_16ch_light_k8.json,0.125,0.6386679566613155,0.6715845851622254,8,10000000.0,2809.016178059365,,,,,,,
out\tdm_sweep_32ch_strong_k4.json,0.0,0.6459396744656138,0.669183672745223,4,2500000.0,66752.7405768719,,,,,,,
out\tdm_sweep_32ch_strong_k8.json,0.0,0.6683086410337894,0.6911630860620214,8,5000000.0,33376.37028843595,,,,,,,
out\tdm_sweep_32ch_light_k4.json,0.25,0.6511355303420018,0.6742941305040754,4,2500000.0,20540.834614511332,,,,,,,
out\tdm_sweep_32ch_light_k8.json,0.125,0.665786739884215,0.6886879866611761,8,5000000.0,10270.417307255666,,,,,,,
out\tdm_sweep_16ch_strong_k4_emitter_tsw0p0.json,0.0,0.0,0.004779050997111869,4,5000000.0,16940.74244980729,,,,,,,
out\tdm_sweep_16ch_strong_k4_eo_switch_tsw0p5.json,0.0,0.0,0.004779050997111869,4,4950495.049504951,16940.74244980729,,,,,,,
out\tdm_sweep_16ch_strong_k8_emitter_tsw0p0.json,0.0,0.0,0.002395249007133871,8,10000000.0,8470.371224903645,,,,,,,
out\tdm_sweep_16ch_strong_k8_eo_switch_tsw0p5.json,0.0,0.0,0.002395249007133871,8,9900990.099009901,8470.371224903645,,,,,,,
out\tdm_sweep_16ch_light_k4_emitter_tsw0p0.json,0.0,0.10615426615998484,0.15240612683286348,4,5000000.0,5618.03235611873,,,,,,,
out\tdm_sweep_16ch_light_k4_eo_switch_tsw0p5.json,0.0,0.10615426615998484,0.15240612683286348,4,4950495.049504951,5618.03235611873,,,,,,,
out\tdm_sweep_16ch_light_k8_emitter_tsw0p0.json,0.125,0.11086567917229184,0.14342476946054067,8,10000000.0,2809.016178059365,,,,,,,
out\tdm_sweep_16ch_light_k8_eo_switch_tsw0p5.json,0.125,0.11086567917229184,0.14342476946054067,8,9900990.099009901,2809.016178059365,,,,,,,
out\tdm_sweep_32ch_strong_k4_emitter_tsw0p0.json,0.0,0.0,0.004779050997111869,4,2500000.0,66752.7405768719,,,,,,,
out\tdm_sweep_32ch_strong_k4_eo_switch_tsw0p5.json,0.0,0.0,0.004779050997111869,4,2475247.5247524753,66752.7405768719,,,,,,,
out\tdm_sweep_32ch_strong_k8_emitter_tsw0p0.json,0.0,0.0,0.002395249007133871,8,5000000.0,33376.37028843595,,,,,,,
out\tdm_sweep_32ch_strong_k8_eo_switch_tsw0p5.json,0.0,0.0,0.002395249007133871,8,4950495.049504951,33376.37028843595,,,,,,,
out\tdm_sweep_32ch_light_k4_emitter_tsw0p0.json,0.25,0.14322527945107716,0.19495278946200223,4,2500000.0,20540.834614511332,,,,,,,
out\tdm_sweep_32ch_light_k4_eo_switch_tsw0p5.json,0.25,0.14322527945107716,0.19495278946200223,4,2475247.5247524753,20540.834614511332,,,,,,,
out\tdm_sweep_32ch_light_k8_emitter_tsw0p0.json,0.125,0.14821467952604028,0.18463714324748043,8,5000000.0,10270.417307255666,,,,,,,
out\tdm_sweep_32ch_light_k8_eo_switch_tsw0p5.json,0.125,0.14821467952604028,0.18463714324748043,8,4950495.049504951,10270.417307255666,,,,,,,
out\tdm16_k8_edfa.json,1.0,0.9909965349377348,0.9978791744839437,8,10000000.0,4514.958280673995,,,,,,,
out\tdm16_k8_soa.json,0.0,0.0403570358516244,0.061798688254796084,8,10000000.0,2609.240156411249,,,,,,,
out\tdm16_k8_edfa_nudged.json,0.875,0.8559175053156134,0.888545040112813,8,10000000.0,7198.89108649415,,,,,,,
out\tdm16_k8_edfa_pack.json,1.0,0.873062770527598,0.9038219293080965,8,10000000.0,11547.507900898112,,,,,,,
